Algorithm,Generation,median,q1,q3
sms-emoa,43,0.09805499571127416,0.07124169775875464,0.20064673950882245
sms-emoa,44,0.10020693295686799,0.07228756916317476,0.20159338920996564
sms-emoa,45,0.10030477258732318,0.07169586289061414,0.20301246345897753
sms-emoa,46,0.10142434135843234,0.0719710116793639,0.2041020868082079
sms-emoa,47,0.10151965128789588,0.07197368389850747,0.2041421553468332
sms-emoa,48,0.10032582963018317,0.06834968890178852,0.2037420302562023
sms-emoa,49,0.10067111142153283,0.06909492320615543,0.20390280698822397
sms-emoa,50,0.10338060567952911,0.07653163299110093,0.20534727033025618
sms-emoa,51,0.10378484207790309,0.07653177911494352,0.20534736318485775
sms-emoa,52,0.10391471417293854,0.07805824451412713,0.2089651064327936
sms-emoa,53,0.10527641935963708,0.07914144450411226,0.20896515314381894
sms-emoa,54,0.10527641935963708,0.07914159321809476,0.20951768304134727
sms-emoa,55,0.10527641935963708,0.07914352980515994,0.21098739067588146
sms-emoa,56,0.10529010018442245,0.08110600088045511,0.21098745269625638
sms-emoa,57,0.10529010018442245,0.0825264633124569,0.21487880570370496
sms-emoa,58,0.10626382511673309,0.08326854933317773,0.21487882238538514
sms-emoa,59,0.1062642259585008,0.08377724699977993,0.21730285922384412
sms-emoa,60,0.1091404336928056,0.08401153327330632,0.21733544425253998
sms-emoa,61,0.10914043505773979,0.08586799708881855,0.21733864020895002
sms-emoa,62,0.10923349259093329,0.08619486384215902,0.23639391330871048
sms-emoa,63,0.1092338396177332,0.0869485249455625,0.23874694304591046
sms-emoa,64,0.10942348630030477,0.08697457039422811,0.23874694304591046
sms-emoa,65,0.11182715764320508,0.08712609081478448,0.2388909830458821
sms-emoa,66,0.11182721345358429,0.08712632465917325,0.24002269549056635
sms-emoa,67,0.11182739675536565,0.08712632465917325,0.24002269549056635
sms-emoa,68,0.11184969353059204,0.08758280854457268,0.24002285619790176
sms-emoa,69,0.11185988916981017,0.0875978109587526,0.24002416646311306
sms-emoa,70,0.11202984017211108,0.08792835401574689,0.24009739946229533
sms-emoa,71,0.11202988169579381,0.08844971006431482,0.24092925326721976
sms-emoa,72,0.11226153532386318,0.0886053464504109,0.24154710216325576
sms-emoa,73,0.11226160033226226,0.08860538090698972,0.2437188620264976
sms-emoa,74,0.1122621536217869,0.0893877621832435,0.25108266862109224
sms-emoa,75,0.1122621536217869,0.0893877621832435,0.2510832235806592
sms-emoa,76,0.11226772154955723,0.08960841356082148,0.2510832235806592
sms-emoa,77,0.11227341967156919,0.08997682633060945,0.2510832235806592
sms-emoa,78,0.11234832695045993,0.09006073424387995,0.2531858816228527
sms-emoa,79,0.11234852922771957,0.09020076492480196,0.2541381329400516
sms-emoa,80,0.11245513881835328,0.09056580111492664,0.2541381508702869
